"";"price";"type";"district";"municipality";"street";"c";"link";"condition";"usable_area";"built_up_area";"land_area";"commission_in_price";"rooms"
"81";215000;"Rodinný dom";"okres Trnava";"Horné Orešany";"okres Trnava";NA;"https://www.nehnutelnosti.sk/4984800/foit-predaj-byvaj-v-malych-karpatoch/";"Čiastočná rekonštrukcia";"231";NA;NA;"no";NA
"82";169900;"Byt";"okres Trnava";"Trnava";"okres Trnava";NA;"https://www.nehnutelnosti.sk/4984799/foit-predaj-kup-vybal-kufre-a-byvaj/";"Kompletná rekonštrukcia";"67";NA;NA;"no";"3"
"83";105000;"Byt";"okres Žiar nad Hronom";"Žiar nad Hronom";"okres Žiar nad Hronom";NA;"https://www.nehnutelnosti.sk/4984785/tureality-ponuka-na-predaj-2i-byt-ktory-bol-prerobeny-na-2-5i-byt-68-4m2-v-ziari-nad-hronom/";"Kompletná rekonštrukcia";"68";NA;NA;"no";"2"
"84";24000;"Byt";"okres Čadca";"Skalité";"okres Čadca";NA;"https://www.nehnutelnosti.sk/4984778/3-izb-byt/";"Pôvodný stav";"68";NA;NA;"no";"3"
"85";220000;"Rodinný dom";"okres Senec";"Hamuliakovo";"okres Senec";NA;"https://www.nehnutelnosti.sk/4984759/4-izbove-rodinne-domy-v-hamuliakove/";"Novostavba";"78";NA;"328,5";"no";NA
"86";184900;"Rodinný dom";"okres Dunajská Streda";"Hviezdoslavov";"okres Dunajská Streda";NA;"https://www.nehnutelnosti.sk/4984758/4-izbove-rodinne-domy-v-hviezdoslavove/";"Novostavba";"91";NA;"180";"no";NA
"87";280000;"Rodinný dom";"okres Senec";"Senec";"okres Senec";NA;"https://www.nehnutelnosti.sk/4984757/rodinny-dom-v-senci-s-tep-cerpadlom/";"Novostavba";"97";NA;"578";"no";NA
"88";92990;"Byt";"okres Galanta";"Galanta";"okres Galanta";NA;"https://www.nehnutelnosti.sk/4984755/predaj-trojizbovy-byt-galanta-centrum/";"Pôvodný stav";"59";NA;NA;"no";"3"
"89";224886;"Byt";"okres Senec";"Nová Dedinka";"okres Senec";NA;"https://www.nehnutelnosti.sk/4949450/predaj-3-izb-bytu-v-novej-dedinke-novostavba-tepelne-cerpadlo-zahrada-237-m2/";"Novostavba";"83";NA;"237";"no";"3"
"90";221900;"Rodinný dom";"okres Dunajská Streda";"Kostolné Kračany";"okres Dunajská Streda";NA;"https://www.nehnutelnosti.sk/4984752/novostavba-rodinneho-domu-na-kluc-v-kostolnych-kracanoch/";NA;NA;NA;NA;"no";NA
